date,opportunities_found,opportunities_executed,successful_trades,failed_trades,total_profit_usd,total_gas_cost_usd,average_profit_per_trade,success_rate,avg_gas_price_gwei
2025-10-15,96,57,51,6,14548.946139987142,25608.95999999999,285.2734537252381,0.8947368421052632,32
2025-10-16,96,65,59,6,16700.23660241715,30115.799999999985,283.05485766808727,0.9076923076923077,33
2025-10-17,96,71,65,6,16953.426163197277,33892.56000000003,260.8219409722658,0.9154929577464789,34
2025-10-18,96,58,49,9,12459.86118393968,28501.200000000026,254.28288130489142,0.8448275862068966,35
2025-10-19,96,63,52,11,13409.67887668696,31842.719999999965,257.8784399362877,0.8253968253968254,36
2025-10-20,96,60,57,3,13874.015461766254,31168.799999999977,243.40378003098692,0.95,37
2025-10-21,96,55,51,4,11481.986227797299,29343.60000000002,225.13698485877057,0.9272727272727272,38
2025-10-22,96,56,49,7,10019.41881509004,30663.360000000022,204.47793500183758,0.875,39
2025-10-23,96,43,36,7,7289.359428740439,24148.79999999999,202.4822063539011,0.8372093023255814,40
2025-10-24,96,56,46,10,8276.773080242177,32235.83999999998,179.9298495704821,0.8214285714285714,41
2025-10-25,96,58,51,7,8741.307168837355,34201.44000000001,171.3981797811246,0.8793103448275862,42
2025-10-26,96,44,40,4,6537.1374705855515,26563.68000000001,163.42843676463878,0.9090909090909091,43
2025-10-27,96,43,34,9,6521.815456837122,26563.67999999998,191.81810167168007,0.7906976744186046,44
2025-10-28,96,43,34,9,5298.650537298669,27167.39999999998,155.84266286172556,0.7906976744186046,45
2025-10-29,96,41,34,7,5604.049710715347,26479.440000000002,164.82499149162786,0.8292682926829268,46
2025-10-30,96,41,36,5,5455.312807123975,27055.08000000001,151.53646686455488,0.8780487804878049,47
2025-10-31,96,39,30,9,3778.170227677764,26282.879999999976,125.93900758925881,0.7692307692307693,48
2025-11-01,96,46,42,4,5433.025767469877,31646.15999999997,129.3577563683304,0.9130434782608695,49
2025-11-02,96,59,55,4,17825.358980425448,24850.800000000025,324.09743600773544,0.9322033898305084,30
2025-11-03,96,73,63,10,17035.04116354715,31772.52000000005,270.3974787864627,0.863013698630137,31
2025-11-04,96,71,66,5,20837.085684648315,31898.879999999972,315.7134194643684,0.9295774647887324,32
2025-11-05,96,63,58,5,15614.144667663728,29189.159999999985,269.2093908217884,0.9206349206349206,33
2025-11-06,96,60,50,10,13313.397107928144,28641.60000000002,266.26794215856285,0.8333333333333334,34
2025-11-07,96,56,53,3,12988.125213926804,27518.400000000023,245.05896630050572,0.9464285714285714,35
2025-11-08,96,51,46,5,12528.802618046722,25777.43999999998,272.3652743053635,0.9019607843137255,36
2025-11-09,96,67,57,10,12598.033456568864,34805.15999999999,221.01813081699763,0.8507462686567164,37
2025-11-10,96,58,52,6,12665.267836476265,30944.16000000002,243.56284300915894,0.896551724137931,38
2025-11-11,96,61,53,8,12020.804462486032,33401.160000000025,226.80763136766097,0.8688524590163934,39
2025-11-12,96,60,48,12,8050.571831559737,33695.99999999996,167.72024649082786,0.8,40
2025-11-13,96,54,47,7,10088.998505698077,31084.55999999998,214.65954267442717,0.8703703703703703,41
2025-11-14,96,57,52,5,9490.485470446192,33611.76000000001,182.50933597011908,0.9122807017543859,42
2025-11-15,96,40,31,9,5479.137756491076,24148.800000000007,176.74637924164762,0.775,43
2025-11-16,96,43,38,5,6479.338122579317,26563.67999999998,170.50889796261362,0.8837209302325582,44
2025-11-17,96,43,33,10,5285.852942313332,27167.39999999998,160.1773618882828,0.7674418604651163,45
2025-11-18,96,42,37,5,5620.2767611351865,27125.280000000002,151.8993719225726,0.8809523809523809,46
2025-11-19,96,37,33,4,5189.906961949613,24415.560000000005,157.26990793786706,0.8918918918918919,47
2025-11-20,96,41,38,3,4951.823220600563,27630.719999999972,130.31113738422536,0.926829268292683,48
2025-11-21,96,41,35,6,4667.342959479248,28206.359999999975,133.35265598512137,0.8536585365853658,49
2025-11-22,96,62,57,5,18065.95629352443,26114.400000000027,316.9466016407794,0.9193548387096774,30
2025-11-23,96,67,58,9,15460.649235549019,29161.08000000004,266.56291785429346,0.8656716417910447,31
2025-11-24,96,60,51,9,15278.453740805015,26956.799999999985,299.5775243295101,0.85,32
2025-11-25,96,62,59,3,16095.118531917045,28725.839999999986,272.7986191850347,0.9516129032258065,33
2025-11-26,96,55,47,8,12718.29671777999,26254.800000000017,270.60205782510616,0.8545454545454545,34
2025-11-27,96,64,59,5,13680.463163092154,31449.600000000035,231.87225700156193,0.921875,35
2025-11-28,96,60,52,8,12710.416638668768,30326.39999999997,244.43108920516863,0.8666666666666667,36
2025-11-29,96,59,54,5,11907.457177494276,30649.319999999978,220.508466249894,0.9152542372881356,37
2025-11-30,96,60,53,7,11448.319815934474,32011.200000000023,216.0060342629146,0.8833333333333333,38
2025-12-01,96,56,52,4,11072.05629085523,30663.360000000022,212.92415943952363,0.9285714285714286,39
2025-12-02,96,46,37,9,7162.65517309061,25833.599999999984,193.58527494839487,0.8043478260869565,40
2025-12-03,96,50,40,10,7908.055073825024,28781.99999999998,197.7013768456256,0.8,41
2025-12-04,96,60,52,8,10473.458749988327,35380.80000000001,201.4126682690063,0.8666666666666667,42
2025-12-05,96,49,45,4,8866.731550742255,29582.280000000017,197.03847890538344,0.9183673469387755,43
2025-12-06,96,54,53,1,9604.365454725872,33359.039999999964,181.21444254199758,0.9814814814814815,44
2025-12-07,96,46,36,10,6279.557709744025,29062.799999999977,174.43215860400068,0.782608695652174,45
2025-12-08,96,38,37,1,6511.229819303566,24541.920000000002,175.97918430550178,0.9736842105263158,46
2025-12-09,96,38,30,8,4647.685995590438,25075.440000000006,154.92286651968126,0.7894736842105263,47
2025-12-10,96,37,31,6,4143.37376638705,24935.03999999998,133.65721827055,0.8378378378378378,48
2025-12-11,96,36,31,5,4034.195698220854,24766.55999999998,130.13534510389852,0.8611111111111112,49
2025-12-12,96,57,53,4,18756.172714987926,24008.400000000023,353.89005122618727,0.9298245614035088,30
2025-12-13,96,61,58,3,15811.630177954514,26549.640000000032,272.61431341300886,0.9508196721311475,31
2025-12-14,96,71,63,8,18863.52937814839,31898.879999999972,299.42110124045064,0.8873239436619719,32
2025-12-15,96,60,54,6,14552.731930483254,27799.199999999986,269.4950357496899,0.9,33
2025-12-16,96,58,47,11,13165.80751050698,27686.88000000002,280.12356405334,0.8103448275862069,34
2025-12-17,96,59,52,7,12660.317735443692,28992.600000000028,243.46764875853253,0.8813559322033898,35
2025-12-18,96,64,53,11,12517.336418048557,32348.159999999963,236.17615883110486,0.828125,36
2025-12-19,96,71,65,6,15304.776420901764,36883.08,235.45809878310408,0.9154929577464789,37
2025-12-20,96,60,54,6,12104.553873119612,32011.200000000023,224.15840505777058,0.9,38
2025-12-21,96,60,48,12,10835.9214248789,32853.60000000003,225.7483630183104,0.8,39
